"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"HAR","Harman Int'l Industries","Consumer Discretionary",73.75,1.47,5,34.93,64.93,119.19,5.2
"HRS","Harris Corporation","Information Technology",84.2,2.05,0.88,27.04,70.1,89.78,10.5
"HIG","Hartford Financial Svc.Gp.","Financials",43.58,0.86,3.66,45.78,36.54,50.95,17.14
"HAS","Hasbro Inc.","Consumer Discretionary",84.71,2.08,3.74,12.87,60.38,88.53,10.56
"HCA","HCA Holdings","Health Care",78.21,- 0,5.31,-19.19,43.91,95.49,30.58
"HCP","HCP Inc.","Financials",35.94,2.37,-0.44,19.77,25.11,40.9,16.79
"HP","Helmerich & Payne","Energy",66.45,3.15,0.94,44.26,40.02,69.2,7.18
"HSIC","Henry Schein","Health Care",180.72,- 0,5.84,35.51,126.17,180.98,14.83
"HES","Hess Corporation","Energy",56.81,1.01,-11.07,68.7,32.41,65.36,17.03
"HPE","Hewlett Packard Enterprise","Information Technology",19.04,0.23,1.22,18.35,11.62,19.85,31.64
"HOLX","Hologic","Health Care",35.93,- 0,0.71,7.31,31.84,43,10.02
"HD","Home Depot","Consumer Discretionary",134.34,2.82,5.69,5.09,92.17,137.82,167.12
"HON","Honeywell Int'l Inc.","Industrials",118.84,2.44,6.16,23.88,87,118.99,90.57
"HRL","Hormel Foods Corp.","Consumer Staples",36.61,0.58,1.45,8.12,28.44,45.72,19.4
"HST","Host Hotels & Resorts","Financials",16.76,0.82,0.85,9.41,12.17,21.4,12.52
"HPQ","HP Inc.","Information Technology",13.08,0.50,1.9,-2.8,8.91,14.82,22.37
"HUM","Humana Inc.","Health Care",158.15,1.01,7.17,70.62,155.24,192.49,23.57
"HBAN","Huntington Bancshares","Financials",8.72,0.28,0.82,8.01,7.83,11.9,6.95
"ITW","Illinois Tool Works","Industrials",108.36,2.25,5.21,14.52,78.79,109.54,38.94
"ILMN","Illumina Inc","Health Care",141.25,- 0,2.78,13.53,127.1,242.37,20.79
"IR","Ingersoll-Rand PLC","Industrials",65.74,1.30,2.87,22.51,47.08,69.28,16.93
"INTC","Intel Corp.","Information Technology",34,1.06,2.34,12.97,24.87,35.59,160.55
