"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"TDC","Teradata Corp.","Information Technology",25.94,- 0,-2.08,6.14,21.98,37.53,3.37
"TSO","Tesoro Petroleum Co.","Energy",72.72,2.08,11.88,43.66,67.8,119.67,8.7
"TXN","Texas Instruments","Information Technology",63.27,1.58,2.87,9.72,43.49,63.31,63.54
"TXT","Textron Inc.","Industrials",36.99,0.08,2.59,18.57,30.69,44.98,9.94
"BK","The Bank of New York Mellon Corp.","Financials",38.49,0.69,2.77,33.34,32.2,45.45,41.46
"CLX","The Clorox Company","Consumer Staples",138.37,3.22,5.12,2,106,140.47,17.9
"KO","The Coca Cola Company","Consumer Staples",45.38,1.41,1.66,5.75,36.56,47.13,196.32
"HSY","The Hershey Company","Consumer Staples",110.7,2.35,2.27,3.88,82.41,117.79,23.62
"MOS","The Mosaic Company","Materials",25.48,0.74,2.71,28.58,22.02,45.98,8.91
"TRV","The Travelers Companies Inc.","Financials",118.08,2.69,10.65,82.65,95.21,119.3,34.53
"DIS","The Walt Disney Company","Consumer Discretionary",99.62,1.43,5.43,25.95,86.25,122.08,161.63
"TMO","Thermo Fisher Scientific","Health Care",152.69,0.61,4.97,53.17,117.1,154.81,60.09
"TIF","Tiffany & Co.","Consumer Discretionary",61.35,1.85,3.47,23.35,56.99,96.43,7.73
"TWX","Time Warner Inc.","Consumer Discretionary",77.96,1.65,4.98,30.22,55.53,91.34,61.31
"TJX","TJX Companies Inc.","Consumer Discretionary",78.96,1.07,3.4,6.86,63.53,79.2,52.2
"TMK","Torchmark Corp.","Financials",61.32,0.57,4.21,36.27,48.47,63.26,7.4
"TSS","Total System Services","Information Technology",54.01,0.41,2.04,10.48,37.47,56.69,9.92
"TSCO","Tractor Supply Company","Consumer Discretionary",93.69,0.97,3.09,10.15,75,97.25,12.5
"TDG","TransDigm Group","Industrials",269.81,- 0,8.69,-18.16,180.76,270.08,14.29
"RIG","Transocean","Energy",12.14,- 0,4.16,40.42,7.67,17.19,4.43
"TRIP","TripAdvisor","Consumer Discretionary",67.13,- 0,1.11,10.05,53.48,94,9.78
"FOXA","Twenty-First Century Fox Class A","Consumer Discretionary",27.7,0.31,1.14,7.6,22.66,34.7,52.47
"FOX","Twenty-First Century Fox Class B","Consumer Discretionary",28,0.31,1.14,7.6,22.65,33.66,53.04
"TYC","Tyco International","Industrials",42.77,0.84,1.04,9.75,28.94,43.98,18.2
"TSN","Tyson Foods","Consumer Staples",68.92,0.61,3.7,25.19,39.05,70.44,26.79
"USB","U.S. Bancorp","Financials",40.09,1.04,3.16,23.82,37.07,46.26,69.21
"UDR","UDR Inc","Financials",37.09,1.19,1.05,10.95,30.03,38.61,9.91
"ULTA","Ulta Salon Cosmetics & Fragrance Inc","Consumer Discretionary",250.82,- 0,5.39,21.07,120.38,253.11,15.66
"UA","Under Armour","Consumer Discretionary",40.43,- 0,0.53,2.66,31.61,52.94,35.33
"UNP","Union Pacific","Industrials",90.69,2.27,5.36,24.35,67.06,99.71,76.27
"UAL","United Continental Holdings","Industrials",41.48,- 0,19.33,23.11,37.41,62.21,13.97
"UNH","United Health Group Inc.","Health Care",141.27,2.51,6.22,36.87,95,142.96,134.32
"UPS","United Parcel Service","Industrials",109.52,3.17,5.5,2.78,87.3,109.85,96.67
"URI","United Rentals, Inc.","Industrials",67.44,- 0,5.96,16.79,41.9,82.63,5.97
"UTX","United Technologies","Industrials",103.66,2.68,8.53,33.88,83.39,112.36,86.75
"UHS","Universal Health Services, Inc.","Health Care",137.16,0.41,6.96,44.2,100.82,148.57,13.31
"UNM","Unum Group","Financials",31.2,0.76,3.54,37.52,23.99,38.15,7.42
"URBN","Urban Outfitters","Consumer Discretionary",29.09,- 0,1.8,10.02,19.26,36.99,3.41
"VFC","V.F. Corp.","Consumer Discretionary",64.05,1.51,2.79,11.74,52.21,77.4,26.71
"VLO","Valero Energy","Energy",47.73,2.42,7.2,43.97,46.88,73.88,22.42
"VAR","Varian Medical Systems","Health Care",84.99,- 0,4.04,17.68,71.07,90.78,8.09
"VTR","Ventas Inc","Financials",72.63,2.94,1.32,28.49,46.87,73.83,24.56
"VRSN","Verisign Inc.","Information Technology",85.6,- 0,2.98,-10.18,63.42,93.94,9.29
"VRSK","Verisk Analytics","Industrials",83.4,- 0,2.93,7.68,64.79,83.4,14.03
"VZ","Verizon Communications","Telecommunications Services",55.9,2.28,4.41,4.57,38.06,56.95,227.86
"VRTX","Vertex Pharmaceuticals Inc","Health Care",88.96,- 0,-1.65,3.87,75.9,143.45,22
"VIAB","Viacom Inc.","Consumer Discretionary",45.2,1.68,5.57,9.82,30.11,62.63,17.9
"V","Visa Inc.","Information Technology",76.42,0.57,2.87,12.22,60,81.73,182.28
"VNO","Vornado Realty Trust","Financials",100.46,2.58,2.54,27.8,78.91,103.41,18.96
"VMC","Vulcan Materials","Materials",123.61,0.82,2.06,33.15,78.83,124.28,16.46
"WMT","Wal-Mart Stores","Consumer Staples",73.84,2.01,4.52,24.06,56.3,74.14,230.13
"WBA","Walgreens Boots Alliance","Consumer Staples",81.8,1.45,2.89,28.55,71.5,97.3,88.53
"WM","Waste Management Inc.","Industrials",67.61,1.65,2.52,11.9,47.55,70.5,30.04
"WAT","Waters Corporation","Health Care",146.53,- 0,5.66,25.97,112,146.96,11.86
"WFC","Wells Fargo","Financials",47.79,1.56,4.07,34.62,44.5,58.77,242.63
"HCN","Welltower Inc.","Financials",75.62,3.40,2.2,37.88,52.8,77.18,27
"WDC","Western Digital","Information Technology",49.35,2.07,3.54,41.24,34.99,88.46,11.5
"WU","Western Union Co","Information Technology",19.57,0.65,1.6,2.52,16.02,20.62,9.61
"WRK","Westrock Co","Materials",38.55,1.56,-0.55,43.77,29.73,64.74,9.63
"WY","Weyerhaeuser Corp.","Financials",30.67,1.26,0.81,13.53,22.06,32.72,22.91
"WHR","Whirlpool Corp.","Consumer Discretionary",171.38,4.08,9.38,62.6,123.6,193.59,13.02
"WFM","Whole Foods Market","Consumer Staples",33.58,0.55,1.47,10.11,28.07,41.97,10.78
"WMB","Williams Cos.","Energy",20.99,2.61,-0.94,7.59,10.22,58.77,15.75
"WLTW","Willis Towers Watson","Financials",125.06,1.93,4.68,80.57,104.11,129.7,17.31
"WEC","Wisconsin Energy Corporation","Utilities",65.03,1.96,2.67,27.94,46,66.1,20.53
"WYN","Wyndham Worldwide","Consumer Discretionary",72.35,2.05,5,7.48,60.59,87.33,8.1
"WYNN","Wynn Resorts Ltd","Consumer Discretionary",89.75,1.99,3.09,-0.83,49.95,110.31,9.1
"XEL","Xcel Energy Inc","Utilities",44.59,1.34,2.11,21.01,32.43,45.42,22.65
"XRX","Xerox Corp.","Information Technology",9.54,0.31,0.25,9.01,8.48,11.46,9.66
"XLNX","Xilinx Inc","Information Technology",46.97,1.36,2.05,10.21,38.73,50.72,11.92
"XL","XL Capital","Financials",33.01,0.81,3.97,40.83,25.56,40.48,9.4
"XYL","Xylem Inc.","Industrials",46.41,0.66,1.89,12.07,29.9,46.67,8.3
"YHOO","Yahoo Inc.","Information Technology",37.74,- 0,-4.76,30.03,26.15,39.98,35.82
"YUM","Yum! Brands Inc","Consumer Discretionary",85.76,1.87,3.03,0.38,64.58,92.33,34.94
"ZBH","Zimmer Biomet Holdings","Health Care",124.89,0.99,0.41,48.52,88.27,124.98,24.88
"ZION","Zions Bancorp","Financials",24.74,0.24,1.21,33.23,19.65,32.42,5.06
"ZTS","Zoetis","Health Care",48.5,0.39,0.76,2.35,37.73,50.39,24.07
